index,commercial_name,business_tags,short_description,description,main_business_category,naics_label
0,Okamoto Myanmar,Super Lubricant | Skin Series | Strawberry Flavor | Vanilla Flavor | Harmony Flavor | Production | Dot De Cool,"Okamoto Myanmar is a cosmetic manufacturer based in Yangon, Myanmar.","Okamoto Myanmar is a company that specializes in the production and distribution of hair and skin care products. They offer a range of hair care products, including the OK Series, which includes products such as Crown, Harmony, Dot De Cool, Skinless Skin Series, Vanilla, Orange, Strawberry, and Purity. They also offer a Super-Lubricative product. The company has a history of providing high-quality hair care solutions to its customers.",Cosmetic Manufacturing,Miscellaneous Manufacturing
1,International Fishing Devices,Sediment Trap Recovery | Design & Manufacturing | Galvanic Timed Release Device Manufacturer | Ghost Fishing Elimination | Instrumentation Attachment | Underwater Pop-up Releases Manufacturer,"For over 40 years, International Fishing Devices, Inc. has been the designer and manufacturer of Galvanic Timed Releases.","International Fishing Devices, Inc. is a company that has been designing and manufacturing Galvanic Timed Releases for over 40 years. Their products include underwater releases, popups, dolphin backpacks, dolphin harnesses, and other fishing devices for commercial fishing, ocean research, and lobster trap fishing. They offer a variety of underwater releases such as underwater pop-up releases, underwater dissolving releases, acoustic release backup devices, and underwater corroding releases. Their releases have been used to recover AUVs, ROVs, UUVs, and HROVs through fail-safe ballast release and to release instrumentation attached to tagged animals such as turtles, whales, dolphins, finfish, sharks, sawfish, and crocodiles.",Dive Shops,Water Transportation
2,Savannah Tracking,Savannah GPS Collar Unit | Animal Identification and Tracking Solutions | Operational Logistics | Specialized Tags | Specialised Tags for Giraffe and Bird | ACC Based Mortality Alarms | Scientific Project Consultancy Services | Phone Applications | Real-time Information Dissemination | UHF/VHF Transmitter | Bespoke Data Hardware Solutions,Savannah Tracking aim is to create affordable customized systems for animal tracking and identification. We have worked closely and collaborated with Kenya’s leading animal researchers and institutions including Kenya Wildlife Services and ILRI.,"Savannah Tracking Ltd. is a Kenyan-based company that specializes in creating affordable customized systems for animal tracking and identification. The company collaborates with leading animal researchers, institutions, and NGOs, including Kenya Wildlife Services, ILRI, Save The Elephants, the Smithsonian Conservation Biology Institute, and the Giraffe Conservation Foundation. Savannah Tracking offers a range of wildlife tracking solutions, including two collar models for elephants, a flexible GPS tracking kit, and a LionShield system that acts as a combined ""detection-deterrent-recording"" system. The standard Savannah GPS collar unit is available in multiple sizes and with either GSM or Iridium data connection, and includes VHF transmitters, ACC-based mortality alarms, and other features. Additionally, the company produces a variety of specialized tags, including ossicone tags for Giraffe and bird backpacks.",Animal Preservation & Wildlife Control,Administration of Environmental Quality Programs
3,Veterinary Hospitals Association,Marketing Solutions | Small Animal Cremation Services | Veterinary Association | Non-profit Organization | Multiple Checkpoints | Hospital Association | Member-based Association | Group Purchasing Program | Financial Services | Web Services | Product Availability | Social Media And Marketing | Group Purchasing Services | Human Resources | Pet Cremation Services | Business Services | Veterinary Support,"Established in 1984, Veterinary Hospitals Association (VHA) is a not-for-profit, member-driven association organized to represent the interests of members and the veterinary community.","The Veterinary Hospitals Association (VHA) is a not-for-profit organization that was founded in 1983 by a group of veterinarians. It has since grown to become one of the largest cooperatives of veterinaries in the world, with members of all sizes ranging from single-practitioner clinics to large multi-doctor hospitals. VHA is committed to improving the efficiency and effectiveness of independent veterinary clinics as a supportive partner. The organization provides dignified, caring, and reliable animal cremation services, owned and supervised by member veterinarians, and distributes rebates every year to its members to help them keep more of their hard-earned money. VHSA also offers a group purchasing program that purchases in volume from manufacturers and suppliers, providing members with ""one-stop shopping"" for all the products and supplies they need.",Veterinary Associations,Religious Grantmaking Civic Professional and Similar Organizations
4,Assured Technical Services,Woodland Management | Civil and Public Works Services | Safety Procedures | Tree Surgery | Site Clearance Services,"Assured Technical Services _ Tree Surgeons Glasgow, Woodland Management - Professional Tree Surgery Glasgow - Site Clearance and Ground Maintenance","Assured Technical Services Ltd is a tree surgery and woodland management company based in Glenboig near Glasgow, Scotland. Established over 19 years ago, they offer a wide range of services including tree surgery, site clearance, clear felling, pruning, and ground maintenance for commercial, industrial, and residential sectors. They have highly qualified and trained staff, top-of-the-line equipment, and a network of sub-contractors to provide services throughout Glasgow, Central Scotland, and Edinburgh. They also specialize in civils work, offering services such as building repairs, installation, and re-installation of ground works. Assured Technical is committed to health and safety and works to British Standards recommendations and industry best practices.",Tree Services,Support Activities for Agriculture and Forestry
5,Krewson Law,Immigration Representation | Writs of Mandamus | Boutique Immigration Law Firm | Citizenship And Naturalization | L-visas for Temporary Workers Assistance | Permanent Labor Certification | Waivers I-601 and IA Assistance | Law Firm | Marriage-based Green Card Assistance | Immigration Law Assistance | Asylum Applications | Deportation & Removal | U.S. Citizenship and Immigration Services | Free Consultations | Violence Against Women Act Waiver,"Krewson Law, PLLC, is a boutique immigration law firm.","Krewson Law, PLLC, is a boutique immigration law firm that specializes in representing clients in various immigration matters. They provide legal representation to clients before the United States Citizenship and Immigration Services, Immigration Court, the Board of Immigration Appeals, and the Federal Courts. The firm serves clients in Orange, Osceola, Seminole, and Brevard Counties.",Immigration Attorneys,National Security and International Affairs
6,Post Box eXpress,Notary Services | Sky Harbor Airport | Shipping and Packed Services | Mailing Services | Custom-made Boxes and Crates | Email Security Services | Customized Packaging Solutions | Authorized Shipper Outlet | International Air Freight Services | Private Mailbox | Shipping Solutions Provider | Amazon Package Security,Post Box Express PBX Shipping Store Shipping Center UPS FedEx USPS Mailboxes Packing Packaging Crates Freight Notary Boxes Mailing Ship,"Post Box eXpress is a family-owned business that specializes in shipping and packing services. They offer a wide range of options for UPS, FedEx, and USPS shipping, as well as domestic and international air freight, custom crates and boxes, and mailboxes for personal and commercial use. They also provide notary public services and have over 100 box sizes in stock. Post Box eXMpress prides itself on offering the lowest prices and the most choices for all types of shipping and packaging needs.",Postal Service,Postal Service
7,AGR Woods,Retail | Manufacturing | Customization Services | Customized Cutting Kitchens,"AGR Woods is a timber & wood products supplier based in Hollywood, Florida, United States.","AGR Woods is a company that specializes in handcrafted wood products for the entire home, with a focus on adding a touch of nature to kitchens. They offer a range of cutting boards, including the Tiny House Cutting Board, House Design Cutting Boards, Walnut Collection, Roc Mix Cutting Boards (Roc Mix, Solid Maple, and Stumpy), and Sister's Collection Cutting Boards. AGR Woods prides itself on continuing family values and providing the best in handcraft wood products.",Timber & Wood Products,Forestry and Logging
8,Bottom Line Telecommunications,Switches/hubs/ridges | Telecommunications Services | Contracting Services | Datacom Adapters | Wireless And Networking | Mobile Phone Accessories | Computer Peripherals | Computer Software | Video Conference | Computer Hardware | Home Electronics | General Supplies,"Bottom Line Telecommunications: Computers, peripherals, hardware, software, home electronics, and more. Free shipping on orders over $10.00 !","Bottom Line Telecommunications is a company that specializes in providing a wide range of computer products, including computers, peripherals, hardware, software, and home electronics. They offer a product catalog that features nearly every computer product manufactured today, as well as accessories such as switches, hubs, and bridges. Additionally, they offer phones, mobile accessories, and general supplies.",Computer Stores,General Merchandise Retailers
9,Tomm Law,Mediation Services | Workplace Policy Drafting | Bullying & Harassment | Fixed Term Contract | Compensation and Bonus Systems | Law Firm Specializing in Labor Law | Severance Package Reviews | Workplace Investigation | Constructive Dismissal | Contractor Agreements | Restrictive Covenants | Wrongful Dismissal | Human Rights Complaints,"Tomm Law provides top-notch legal counsel with a client-centered approach, focusing on employment law and estate litigation in Calgary, Alberta.","Tomm Law is a law firm based in downtown Calgary, Alberta that specializes in employment law and civil litigation. They provide legal counsel with a client-centered approach, offering practical solutions and proven advice to both employers and employees in all aspects of employment law. Their services include wrongful dismissal litigation, severance package reviews, constructive dismissals, employment contract drafting, workplace policy drafting, restrictive covenant reviews, human rights complaints, independent legal advice, and estate litigation. Matthew Tomm, the responsible lawyer, leads the firm and is committed to providing personalized service to clients.",Employment Attorneys,Management of Companies and Enterprises
